"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_item_lotus_orb_2_bonus_mana"	"+$mana"
		"DOTA_Tooltip_ability_item_lotus_orb_2_Lore"	"Gem in the center still carries a faint reflection of its creator."
		
		"DOTA_Tooltip_modifier_item_lotus_orb_2_active"	"Echo Shell 2"
		"DOTA_Tooltip_modifier_item_lotus_orb_2_active_Description"	"Most target-directed spells will be redirected back."
		
		"DOTA_Tooltip_ability_item_sphere_2"	"LINKEN'S SPHERE"
		"DOTA_Tooltip_ability_item_sphere_2_Description"	"<h1>Passive: Spellblock</h1> Blocks one targeted ability every %block_cooldown% seconds. Some abilities cannot be blocked.\n\n<h1>Active: Transfer Spellblock</h1> Temporarily disables the passive ability of the item, transferring it to a selected ally for %block_cooldown% seconds.<br><br>Ability Range: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_sphere_2_Lore"	"Once this magical sphere protected one of the most famous heroes in history."
		"DOTA_Tooltip_ability_item_sphere_2_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_sphere_2_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_sphere_2_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_sphere_2_bonus_damage"	"+$damage"
		
		"DOTA_Tooltip_modifier_item_sphere_2_target"	"Protection against abilities with Linken's Sphere 2"
		"DOTA_Tooltip_modifier_item_sphere_2_target_Description"	"The next targeted spell will be blocked."
		
		"DOTA_Tooltip_Ability_item_harpoon_2"	"HARPOON 2"
		"DOTA_Tooltip_Ability_item_harpoon_2_Description"	"<h1>Active: Draw Forth</h1> Shoots a harpoon at the selected enemy, pulling the owner and the target towards each other up to %pull_distance_pct%%% of the initial distance. If the owner is engaged in melee combat, it pulls them and the target to attack range.\n\n <h1>Passive: Echo Strike</h1> Allows melee heroes to perform a double attack that reduces the target's movement speed by %movement_slow%%% for %slow_duration% seconds."
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_health"	"+$health"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_mana_regen"	"+$mana_regen"
		
		"DOTA_Tooltip_modifier_item_harpoon_2_pull"	"Harpoon 2"
		"DOTA_Tooltip_modifier_item_harpoon_2_pull_Description"	"This creature is pulling with a harpoon."
		"DOTA_Tooltip_modifier_item_harpoon_2_slow"	"Harpoon 2"
		"DOTA_Tooltip_modifier_item_harpoon_2_slow_Description"	"Movement is slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_item_harpoon_2_internal_cd"	"Echo Strike at Harpoon"
		"DOTA_Tooltip_modifier_item_harpoon_2_internal_cd_Description"	"Double attack is reloading."
		
		"DOTA_Tooltip_Ability_item_harpoon_3"	"HARPOON 3"
		"DOTA_Tooltip_Ability_item_harpoon_3_Description"	"<h1>Active: Draw Forth</h1> Shoots a harpoon at the selected enemy, pulling the owner and the target towards each other up to %pull_distance_pct%%% of the initial distance. If the owner is engaged in melee combat, it pulls them and the target to attack range.\n\n <h1>Passive: Echo Strike</h1> Allows melee heroes to perform a double attack that reduces the target's movement speed by %movement_slow%%% for %slow_duration% seconds."
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_health"	"+$health"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_mana_regen"	"+$mana_regen"
		
		"DOTA_Tooltip_modifier_item_harpoon_3_pull"	"Harpoon 3"
		"DOTA_Tooltip_modifier_item_harpoon_3_pull_Description"	"This creature is pulling with a harpoon."
		"DOTA_Tooltip_modifier_item_harpoon_3_slow"	"Harpoon 3"
		"DOTA_Tooltip_modifier_item_harpoon_3_slow_Description"	"Movement is slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_item_harpoon_3_internal_cd"	"Echo Strike at Harpoon"
		"DOTA_Tooltip_modifier_item_harpoon_3_internal_cd_Description"	"Double attack is reloading."
		
		"DOTA_Tooltip_ability_item_bkb_aa_1"	"BLACK KING BAR"
		"DOTA_Tooltip_ability_item_bkb_aa_1_Description"	"<h1>Active: Avatar</h1> Applies normal dispersion to the owner. Gives +%magic_resist%%% magic resistance and immunity to pure and reflected damage. Protects the owner from negative effects.<br><br>Duration: %duration%<br>Dispersion type: <span class=\"GameplayValues GameplayVariable\">normal</span>"
		"DOTA_Tooltip_ability_item_bkb_aa_1_Lore"	"Powerful staff, endowed with the power of giants."
		"DOTA_Tooltip_ability_item_bkb_aa_1_Note0"	"Buying another Black King Bar will not refresh its duration."
		"DOTA_Tooltip_ability_item_bkb_aa_1_Note1"	"Abilities that pass through immunity to effects ignore the action of this item."
		"DOTA_Tooltip_ability_item_bkb_aa_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_bkb_aa_1_bonus_damage"	"+$damage"
		"DOTA_Tooltip_modifier_bkb_aa_1_immune"	"Black King Bar 2"
		"DOTA_Tooltip_modifier_bkb_aa_1_immune_Description"	"Creature is immune to magic."
	
		"DOTA_Tooltip_ability_item_bkb_aa_2"	"BLACK KING BAR 2"
		"DOTA_Tooltip_ability_item_bkb_aa_2_Description"	"<h1>Active: Avatar</h1> Applies normal dispersion to the owner. Gives +%magic_resist%%% magic resistance and immunity to pure and reflected damage. Protects the owner from negative effects.<br><br>Duration: %duration%<br>Dispersion type: <span class=\"GameplayValues GameplayVariable\">normal</span>"
		"DOTA_Tooltip_ability_item_bkb_aa_2_Lore"	"Powerful staff, endowed with the power of giants."
		"DOTA_Tooltip_ability_item_bkb_aa_2_Note0"	"Buying another Black King Bar will not refresh its duration."
		"DOTA_Tooltip_ability_item_bkb_aa_2_Note1"	"Abilities that pass through immunity to effects ignore the action of this item."
		"DOTA_Tooltip_ability_item_bkb_aa_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_bkb_aa_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_modifier_bkb_aa_2_immune"	"Black King Bar 2"
		"DOTA_Tooltip_modifier_bkb_aa_2_immune_Description"	"Creature is immune to magic."
		
		"DOTA_Tooltip_ability_item_bkb_aa_3"	"BLACK KING BAR 3"
		"DOTA_Tooltip_ability_item_bkb_aa_3_Description"	"<h1>Active: Avatar</h1> Applies normal dispersion to the owner. Gives +%magic_resist%%% magic resistance and immunity to pure and reflected damage. Protects the owner from negative effects.<br><br>Duration: %duration%<br>Dispersion type: <span class=\"GameplayValues GameplayVariable\">normal</span>"
		"DOTA_Tooltip_ability_item_bkb_aa_3_Lore"	"Powerful staff, endowed with the power of giants."
		"DOTA_Tooltip_ability_item_bkb_aa_3_Note0"	"Buying another Black King Bar will not refresh its duration."
		"DOTA_Tooltip_ability_item_bkb_aa_3_Note1"	"Abilities that pass through immunity to effects ignore the action of this item."
		"DOTA_Tooltip_ability_item_bkb_aa_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_bkb_aa_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_modifier_bkb_aa_3_immune"	"Black King Bar 3"
		"DOTA_Tooltip_modifier_bkb_aa_3_immune_Description"	"Creature is immune to magic."
		
		"DOTA_Tooltip_Ability_item_falcon_blade_custom"	"Falcon Blade"
		"DOTA_Tooltip_ability_item_falcon_blade_custom_Description"	"<h1>Activated: Falcon Rush</h1>The owner makes a quick <b><font color='#53ea48'>dash</font></b> in the specified direction for a distance of <b><font color='#53ea48'>%range%</font></b><br><br>Upon activation, the owner dodges all projectiles<br><br>When taking damage from heroes, the ability goes on cooldown for %damage_cd% seconds"
		"DOTA_Tooltip_ability_item_falcon_blade_custom_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_falcon_blade_custom_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_falcon_blade_custom_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_falcon_blade_custom_Lore"	"Enchanted dagger that long ago lifted a street urchin out of the mud and into nobility."
		"DOTA_Tooltip_Ability_item_corrosion_custom"	"Orb of Corrosion"
		"DOTA_Tooltip_Ability_item_corrosion_custom_Description"	"<h1>Active: Corrosion</h1>Launches a projectile that slows the target for %duration% seconds. The slow increases over time up to <b><font color='#53ea48'>%max_slow%%%</font></b>. The target also takes %total_damage% physical damage during this time \n\n<h1>Passive: Corrosion</h1>Attacks reduce the target's armor by %armor% and deal %damage% damage per second. If the owner is engaged in melee combat, the target is slowed by %melee_slow%%%, and if ranged combat, by %ranged_slow%%%.<br><br>Duration: %duration_passive% sec."
		"DOTA_Tooltip_Ability_item_corrosion_custom_Lore"	"Essence of a warrior deity's wounds, trapped in a sorcerer's sphere after a brutal bloodshed campaign."
		"DOTA_Tooltip_Ability_item_corrosion_custom_health_bonus"	"+$health"
		
		"DOTA_Tooltip_modifier_item_corrosion_custom_active_slow"	"Orb of Corrosion"
		"DOTA_Tooltip_modifier_item_corrosion_custom_active_slow_Description"	"Movement speed reduced by <b><font color='#ff0000'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</font></b>"
		"DOTA_Tooltip_modifier_item_corrosion_custom_passive_slow"	"Orb of Corrosion"
		"DOTA_Tooltip_modifier_item_corrosion_custom_passive_slow_Description"	"Movement speed reduced by <b><font color='#ff0000'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</font></b>, armor reduced by <b><font color='#ff0000'>%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%</font></b>"
		
		"DOTA_Tooltip_ability_item_pavise_2"	"PAVISE 2"
		"DOTA_Tooltip_ability_item_pavise_2_Description"	"<h1>Active: Protect</h1> When used on an ally, gives them a barrier that absorbs %absorb_amount% physical damage. Duration: %duration% sec. <br><br>Cast Range: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_pavise_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_pavise_2_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_pavise_2_bonus_health"	"+$health"
		
		"DOTA_Tooltip_modifier_item_pavise_2_shield"	"Pavise 2"
		"DOTA_Tooltip_modifier_item_pavise_2_shield_Description"	"Absorbs physical damage."
		
		"DOTA_Tooltip_ability_item_crimson_guard_3"	"CRIMSON GUARD 2"
		"DOTA_Tooltip_ability_item_crimson_guard_3_Description"	"<h1>Active: Guard</h1> Gives nearby heroes and buildings a %block_chance_active%%% chance to block damage from each attack for %duration% seconds, equal to %block_damage_active% + %strength_pct%%% of the owner's strength. <br>The ability can only affect the same unit once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n\n<h1>Passive: Damage Block</h1> Has a %block_chance%%% chance to block %block_damage_melee% damage if the owner is a melee hero, or %block_damage_ranged% damage if the hero is ranged."
		"DOTA_Tooltip_ability_item_crimson_guard_3_Lore"	"Armor, originally forged to protect against the terrifying Godnya."
		"DOTA_Tooltip_ability_item_crimson_guard_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_crimson_guard_3_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_crimson_guard_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_crimson_guard_3_Note0"	"The effects of multiple abilities that block damage do not combine."
		
		"DOTA_Tooltip_modifier_item_crimson_guard_3_aura"	"Armor from Crimson Guard 2"
		"DOTA_Tooltip_modifier_item_crimson_guard_3_aura_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_item_crimson_guard_3_effect"	"Armor from Crimson Guard 2"
		"DOTA_Tooltip_modifier_item_crimson_guard_3_effect_Description"	"Armor increased by %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_item_crimson_guard_3_extra"	"Guard 2"
		"DOTA_Tooltip_modifier_item_crimson_guard_3_extra_Description"	"Has a 100% chance to block %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage from attacks."
		"DOTA_Tooltip_modifier_item_crimson_guard_3_nostack"	"Reload Guard 2"
		"DOTA_Tooltip_modifier_item_crimson_guard_3_nostack_Description"	"The ability Guard 2 does not affect creatures on which it was recently applied."
		
		"DOTA_Tooltip_ability_item_solar_crest_2"	"SOLAR CREST 2"
		"DOTA_Tooltip_ability_item_solar_crest_2_Description"	"<h1>Active: Shine</h1>If used on an ally, increases their armor by %target_armor%, attack speed by %target_attack_speed%, and movement speed by %target_movement_speed%%. If used on an enemy, reduces their armor by %target_armor%, attack speed by %target_attack_speed%, and movement speed by %target_movement_speed%%.<br><br>Removes %target_armor% armor from the owner.<br><br>Cast Range: %abilitycastrange%<br><br>Duration: %duration% sec."
		"DOTA_Tooltip_ability_item_solar_crest_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_solar_crest_2_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_solar_crest_2_self_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_solar_crest_2_bonus_mana_regen_pct"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_solar_crest_2_Lore"	"Talisman, forged in praise of the daytime sky."
		"DOTA_Tooltip_ability_item_solar_crest_2_Note0"	"Has a shared cooldown with Medallion of Courage."
		
		"DOTA_Tooltip_modifier_item_solar_crest_2_armor_reduction"	"Solar Crest 2"
		"DOTA_Tooltip_modifier_item_solar_crest_2_armor_reduction_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%, and attack slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_modifier_item_solar_crest_2_armor_addition"	"Solar Crest 2"
		"DOTA_Tooltip_modifier_item_solar_crest_2_armor_addition_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%, and attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_ability_item_solar_crest_3"	"SOLAR CREST 3"
		"DOTA_Tooltip_ability_item_solar_crest_3_Description"	"<h1>Active: Shine</h1>If used on an ally, increases their armor by %target_armor%, attack speed by %target_attack_speed%, and movement speed by %target_movement_speed%%. If used on an enemy, reduces their armor by %target_armor%, attack speed by %target_attack_speed%, and movement speed by %target_movement_speed%%.<br><br>Removes %target_armor% armor from the owner.<br><br>Cast Range: %abilitycastrange%<br><br>Duration: %duration% sec."
		"DOTA_Tooltip_ability_item_solar_crest_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_solar_crest_3_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_solar_crest_3_self_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_solar_crest_3_bonus_mana_regen_pct"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_solar_crest_3_Lore"	"Talisman, forged in praise of the daytime sky."
		"DOTA_Tooltip_ability_item_solar_crest_3_Note0"	"Has a shared cooldown with Medallion of Courage."
		
		"DOTA_Tooltip_modifier_item_solar_crest_3_armor_reduction"	"Solar Crest 3"
		"DOTA_Tooltip_modifier_item_solar_crest_3_armor_reduction_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%, and attack slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_modifier_item_solar_crest_3_armor_addition"	"Solar Crest 3"
		"DOTA_Tooltip_modifier_item_solar_crest_3_armor_addition_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%, movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%, and attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3"	"HELM OF THE OVERLORD 3"
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Description"	"<h1>Active: Dominate</h1> Gives control over a neutral creep and increases its movement speed by %speed_base%, and health pool by %health_min%. Also grants the creep +%creep_bonus_damage% bonus damage, +%creep_bonus_armor% bonus armor, +%creep_bonus_hp_regen% bonus health regeneration, and +%creep_bonus_mp_regen% bonus mana regeneration.<br><br>If the maximum health of the creature is greater than %health_min%, it will not be changed. Killing the creature grants %bounty_gold% gold.<br><br>Cast Range: %abilitycastrange%\n\n<h1>Passive: Vladmir's Aura</h1>Increases lifesteal of nearby allies by %lifesteal_aura%%%, their damage by %damage_aura%%%, armor by %armor_aura%, and mana regeneration by %mana_regen_aura%."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Lore"	"Mighty helmet of the dead necromancer."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Note0"	"Allows you to control up to two creatures."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Note1"	"Also affects enemy creeps from lanes and summoned creatures."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Note2"	"Subordinate creatures will die if this item is sold."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_bonus_stats"	"+$all"
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_bonus_regen"	"+$hp_regen"
		
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2"	"HELM OF THE OVERLORD 2"
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Description"	"<h1>Active: Dominate</h1> Gives control over a neutral creep and increases its movement speed by %speed_base%, and health pool by %health_min%. Also grants the creep +%creep_bonus_damage% bonus damage, +%creep_bonus_armor% bonus armor, +%creep_bonus_hp_regen% bonus health regeneration, and +%creep_bonus_mp_regen% bonus mana regeneration.<br><br>If the maximum health of the creature is greater than %health_min%, it will not be changed. Killing the creature grants %bounty_gold% gold.<br><br>Cast Range: %abilitycastrange%\n\n<h1>Passive: Vladmir's Aura</h1>Increases lifesteal of nearby allies by %lifesteal_aura%%%, their damage by %damage_aura%%%, armor by %armor_aura%, and mana regeneration by %mana_regen_aura%."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Lore"	"Mighty helmet of the dead necromancer."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Note0"	"Allows you to control up to two creatures."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Note1"	"Also affects enemy creeps from lanes and summoned creatures."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Note2"	"Subordinate creatures will die if this item is sold."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_bonus_stats"	"+$all"
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_bonus_regen"	"+$hp_regen"
		
		"DOTA_Tooltip_ability_item_veil_of_discord_2"	"VEIL OF DISCORD 2"
		"DOTA_Tooltip_ability_item_veil_of_discord_2_Description"	"<h1>Active: Magic Weakness</h1> Weakens enemy heroes in a radius of %debuff_radius%, causing them to take %spell_amp%%% more damage from spells.<br><br>Cast Range: %abilitycastrange%<br>Duration: %resist_debuff_duration% sec. \n\n<h1>Passive: Basilius Aura</h1> Increases mana regeneration of allies by %aura_mana_regen%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_veil_of_discord_2_Lore"	"Headgear of corrupted mages."
		"DOTA_Tooltip_ability_item_veil_of_discord_2_bonus_all_stats"	"+$all"
		
		"DOTA_Tooltip_modifier_item_veil_of_discord_2_mana"	"Veil of Discord 2"
		"DOTA_Tooltip_modifier_item_veil_of_discord_2_mana_Description"	"Mana regeneration of allies increased."
		"DOTA_Tooltip_modifier_item_veil_of_discord_2_debuff"	"Magic Weakness 2"
		"DOTA_Tooltip_modifier_item_veil_of_discord_2_debuff_Description"	"All damage received from spells is increased by %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."
		
		"DOTA_Tooltip_ability_item_veil_of_discord_3"	"VEIL OF DISCORD 3"
		"DOTA_Tooltip_ability_item_veil_of_discord_3_Description"	"<h1>Active: Magic Weakness</h1> Weakens enemy heroes in a radius of %debuff_radius%, causing them to take %spell_amp%%% more damage from spells.<br><br>Cast Range: %abilitycastrange%<br>Duration: %resist_debuff_duration% sec. \n\n<h1>Passive: Basilius Aura</h1> Increases mana regeneration of allies by %aura_mana_regen%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_veil_of_discord_3_Lore"	"Headgear of corrupted mages."
		"DOTA_Tooltip_ability_item_veil_of_discord_3_bonus_all_stats"	"+$all"
		
		"DOTA_Tooltip_modifier_item_veil_of_discord_3_mana"	"Veil of Discord 3"
		"DOTA_Tooltip_modifier_item_veil_of_discord_3_mana_Description"	"Mana regeneration of allies increased."
		"DOTA_Tooltip_modifier_item_veil_of_discord_3_debuff"	"Magic Weakness 3"
		"DOTA_Tooltip_modifier_item_veil_of_discord_3_debuff_Description"	"All damage received from spells is increased by %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."
		
		"DOTA_Tooltip_ability_item_ethereal_blade_2"	"ETHEREAL BLADE 2"
		"DOTA_Tooltip_ability_item_ethereal_blade_2_Description"	"<h1>Active: Ether Blast</h1> Gives the target an ethereal form that completely protects against physical damage, but prevents attacking and increases magical damage taken by %ethereal_damage_bonus%%%.<br><br>If the target is an enemy, it is also slowed by %blast_movement_slow%%% and takes magical damage equal to %blast_agility_multiplier% * its primary attribute + %blast_damage_base%.<br><br>Cast Range: %abilitycastrange%<br>Duration: %duration% sec."
		"DOTA_Tooltip_ability_item_ethereal_blade_2_Note0"	"Has a shared cooldown with Ghost Scepter."
		"DOTA_Tooltip_ability_item_ethereal_blade_2_Note1"	"Creatures in ethereal form receive %ethereal_damage_bonus%%% more magical damage."
		"DOTA_Tooltip_ability_item_ethereal_blade_2_Note2"	"Universal heroes consider 60% of the total sum of all three attributes as the main attribute."
		"DOTA_Tooltip_ability_item_ethereal_blade_2_Note3"	"Using Town Portal Scroll or Boots of Travel does not dispel the ethereal form."
		"DOTA_Tooltip_ability_item_ethereal_blade_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_ethereal_blade_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_ethereal_blade_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_ethereal_blade_2_spell_amp"	"%+Spell damage"
		"DOTA_Tooltip_ability_item_ethereal_blade_2_spell_lifesteal_amp"	"%+To increase vampirism from spells"
		"DOTA_Tooltip_ability_item_ethereal_blade_2_mana_regen_multiplier"	"%+to increase mana regeneration"
		"DOTA_Tooltip_ability_item_ethereal_blade_2_Lore"	"This shimmering ghostly sword strikes both the physical and magical layers of reality."
	
		"DOTA_Tooltip_modifier_item_ethereal_blade_2_ethereal"	"Ether Blast 2"
		"DOTA_Tooltip_modifier_item_ethereal_blade_2_ethereal_Description"	"Is in an ethereal form. Receives increased %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% magical damage, cannot attack or be targeted for attacks."
		"DOTA_Tooltip_modifier_item_ethereal_blade_2_slow"	"Slowdown from Ethereal Blade 2"
		"DOTA_Tooltip_modifier_item_ethereal_blade_2_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
	
		"DOTA_Tooltip_ability_item_ethereal_blade_3"	"ETHEREAL BLADE 3"
		"DOTA_Tooltip_ability_item_ethereal_blade_3_Description"	"<h1>Active: Ether Blast</h1> Gives the target an ethereal form that completely protects against physical damage, but prevents attacking and increases magical damage taken by %ethereal_damage_bonus%%%.<br><br>If the target is an enemy, it is also slowed by %blast_movement_slow%%% and takes magical damage equal to %blast_agility_multiplier% * its primary attribute + %blast_damage_base%.<br><br>Cast Range: %abilitycastrange%<br>Duration: %duration% sec."
		"DOTA_Tooltip_ability_item_ethereal_blade_3_Note0"	"Has a shared cooldown with Ghost Scepter."
		"DOTA_Tooltip_ability_item_ethereal_blade_3_Note1"	"Creatures in ethereal form receive %ethereal_damage_bonus%%% more magical damage."
		"DOTA_Tooltip_ability_item_ethereal_blade_3_Note2"	"Universal heroes consider 60% of the total sum of all three attributes as the main attribute."
		"DOTA_Tooltip_ability_item_ethereal_blade_3_Note3"	"Using Town Portal Scroll or Boots of Travel does not dispel the ethereal form."
		"DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_ethereal_blade_3_spell_amp"	"%+Spell damage"
		"DOTA_Tooltip_ability_item_ethereal_blade_3_spell_lifesteal_amp"	"%+To increase vampirism from spells"
		"DOTA_Tooltip_ability_item_ethereal_blade_3_mana_regen_multiplier"	"%+to increase mana regeneration"
		"DOTA_Tooltip_ability_item_ethereal_blade_3_Lore"	"This shimmering ghostly sword strikes both the physical and magical layers of reality."
		"DOTA_Tooltip_modifier_item_ethereal_blade_3_ethereal"	"Ether Blast 3"
		"DOTA_Tooltip_modifier_item_ethereal_blade_3_ethereal_Description"	"Is in an ethereal form. Receives increased %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% magical damage, cannot attack or be targeted for attacks."
		"DOTA_Tooltip_modifier_item_ethereal_blade_3_slow"	"Slowdown from Ethereal Blade 3"
		"DOTA_Tooltip_modifier_item_ethereal_blade_3_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		
		"DOTA_Tooltip_ability_item_revenants_brooch_2"	"REVENANTS BROOCH 2"
		"DOTA_Tooltip_ability_item_revenants_brooch_2_Description"	"<h1>Active: Phantom Province</h1>Increases attack speed by %active_attack_speed%. The next %number_of_attacks% attacks by the owner deal magical damage and cannot miss. Duration: %active_duration% sec.<br><br>Allows attacking incorporeal creatures, but attacks do not damage targets immune to magic.\n\n<h1>Passive: Witch Blade</h1>The next attack poisons the target for %slow_duration% sec., slowing them by %slow%%% and dealing damage to them every second equal to the owner's intelligence multiplied by %int_damage_multiplier%. Cooldown: %passive_cooldown% sec."
		"DOTA_Tooltip_ability_item_revenants_brooch_2_Lore"	"Cursed brooch of a fallen guardian, wandering between the veils of life and death."
		"DOTA_Tooltip_ability_item_revenants_brooch_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_revenants_brooch_2_bonus_intellect"	"+$int"
